state,date,cases,deaths,incidence
TN,2020-07-30 00:00:00,102871,1033,1506.3461554794187
TX,2020-07-30 00:00:00,428229,6442,1476.8614893956835
UT,2020-07-30 00:00:00,39696,300,1238.1946363614245
VT,2020-07-30 00:00:00,1407,57,225.48474412209185
VA,2020-07-30 00:00:00,88904,2141,1041.5769679617606
WA,2020-07-30 00:00:00,55803,1564,732.8139738798692
WV,2020-07-30 00:00:00,6375,112,355.7185878167361
WI,2020-07-30 00:00:00,52108,919,894.9521797928494
WY,2020-07-30 00:00:00,2686,26,464.0964546555648
AL,2020-08-14 00:00:00,106309,1893,2168.162123191354
AK,2020-08-14 00:00:00,4073,27,556.7668427779563
AZ,2020-08-14 00:00:00,191721,4423,2633.9944251164043
AR,2020-08-14 00:00:00,52392,587,1736.096843930222
CA,2020-08-14 00:00:00,613101,11148,1551.6742755779649
CO,2020-08-14 00:00:00,52519,1888,911.9883252158113
CT,2020-08-14 00:00:00,50897,4453,1427.5709080362956
DE,2020-08-14 00:00:00,16340,593,1678.0246548445002
DC,2020-08-14 00:00:00,13118,594,1858.7344792553727
FL,2020-08-14 00:00:00,563285,9141,2622.645951945496
GA,2020-08-14 00:00:00,231895,4573,2184.0987215070927
HI,2020-08-14 00:00:00,4543,40,320.8623378384487
ID,2020-08-14 00:00:00,27171,265,1520.4259498115625
IL,2020-08-14 00:00:00,204023,7932,1610.0527303850015
IN,2020-08-14 00:00:00,78632,3113,1167.9952776343134
IA,2020-08-14 00:00:00,51247,970,1624.2745802787258
KS,2020-08-14 00:00:00,33030,404,1133.7603842222295
KY,2020-08-14 00:00:00,38298,804,857.224778984496
LA,2020-08-14 00:00:00,136737,4430,2941.3434968295005
ME,2020-08-14 00:00:00,4116,126,306.20170032703174
MD,2020-08-14 00:00:00,98875,3631,1635.4653239999468
MA,2020-08-14 00:00:00,122728,8810,1777.7431507828146
MI,2020-08-14 00:00:00,100724,6566,1008.5655577125017
MN,2020-08-14 00:00:00,63723,1739,1129.9141504268366
MS,2020-08-14 00:00:00,70930,2043,2383.281213406989
MO,2020-08-14 00:00:00,65793,1365,1071.9962824818474
MT,2020-08-14 00:00:00,5541,81,518.4425577622294
NE,2020-08-14 00:00:00,29988,361,1550.241727701705
NV,2020-08-14 00:00:00,59749,1045,1939.804347572006
NH,2020-08-14 00:00:00,6964,423,512.1676591569826
NJ,2020-08-14 00:00:00,187164,15903,2107.1830258078244
NM,2020-08-14 00:00:00,23160,703,1104.5249755702541
NY,2020-08-14 00:00:00,424167,32827,2180.4079983094102
NC,2020-08-14 00:00:00,142170,2313,1355.5383423702554
ND,2020-08-14 00:00:00,8322,121,1092.0371308371234
OH,2020-08-14 00:00:00,106557,3784,911.5928514599073
OK,2020-08-14 00:00:00,46897,644,1185.1742153278353
OR,2020-08-14 00:00:00,22613,385,536.1405891358328
PA,2020-08-14 00:00:00,127732,7434,997.7512088160677
PR,2020-08-14 00:00:00,25128,317,856.614558902137
RI,2020-08-14 00:00:00,20335,1021,1919.55339114806
SC,2020-08-14 00:00:00,104841,2204,2036.2560437421848
SD,2020-08-14 00:00:00,10024,150,1133.0919597268553
TN,2020-08-14 00:00:00,130458,1326,1910.3042329863024
TX,2020-08-14 00:00:00,539673,10078,1861.205734704181
UT,2020-08-14 00:00:00,45976,360,1434.0799224443988
VT,2020-08-14 00:00:00,1501,58,240.54911224396582
VA,2020-08-14 00:00:00,104838,2370,1228.255715909015
WA,2020-08-14 00:00:00,66139,1755,868.5479887898622
WV,2020-08-14 00:00:00,8277,157,461.84827472300003
